Package,LibPath,Version,Priority,Built
scales,C:/R/R-3.5.1/library,1.0.0,NA,3.5.1
selectr,C:/R/R-3.5.1/library,0.4-1,NA,3.5.1
spatial,C:/R/R-3.5.1/library,7.3-11,recommended,3.5.1
splines,C:/R/R-3.5.1/library,3.5.1,base,3.5.1
stats,C:/R/R-3.5.1/library,3.5.1,base,3.5.1
stats4,C:/R/R-3.5.1/library,3.5.1,base,3.5.1
stringi,C:/R/R-3.5.1/library,1.1.7,NA,3.5.0
stringr,C:/R/R-3.5.1/library,1.3.1,NA,3.5.1
survival,C:/R/R-3.5.1/library,2.42-3,recommended,3.5.1
tcltk,C:/R/R-3.5.1/library,3.5.1,base,3.5.1
tibble,C:/R/R-3.5.1/library,1.4.2,NA,3.5.1
tidyr,C:/R/R-3.5.1/library,0.8.1,NA,3.5.1
tidyselect,C:/R/R-3.5.1/library,0.2.4,NA,3.5.1
tidyverse,C:/R/R-3.5.1/library,1.2.1,NA,3.5.1
tinytex,C:/R/R-3.5.1/library,0.8,NA,3.5.1
tools,C:/R/R-3.5.1/library,3.5.1,base,3.5.1
translations,C:/R/R-3.5.1/library,3.5.1,NA,3.5.1
usethis,C:/R/R-3.5.1/library,1.4.0,NA,3.5.1
utf8,C:/R/R-3.5.1/library,1.1.4,NA,3.5.1
utils,C:/R/R-3.5.1/library,3.5.1,base,3.5.1
viridisLite,C:/R/R-3.5.1/library,0.3.0,NA,3.5.1
whisker,C:/R/R-3.5.1/library,0.3-2,NA,3.5.1
withr,C:/R/R-3.5.1/library,2.1.2,NA,3.5.1
xfun,C:/R/R-3.5.1/library,0.3,NA,3.5.1
xml2,C:/R/R-3.5.1/library,1.2.0,NA,3.5.1
yaml,C:/R/R-3.5.1/library,2.2.0,NA,3.5.1
